voice4	voice3	voice2	voice1	harm	beat	meter	onset_strength	beat_strength	LABEL	similarity
4r	4c/	16g\	1gg_	I	1.25	M4/4	1.0	off beat	0.0	1.0
4r	4c/	16g\	1gg_	I	1.5	M4/4	0.0	off beat	0.0	1.0
4r	4c/	16g\JJ	1gg_	I	1.75	M4/4	0.0	off beat	0.0	0.6666666666666666
8r	4r	16g/LL	1gg_	I	2	M4/4	0.0	weak beat	0.0	1.0
8r	4r	16g/	1gg_	I	2.25	M4/4	0.0	off beat	0.0	0.5
8f/	4r	16bn/	1gg_	V42	2.5	M4/4	2.0	off beat	1.0	0.8
8f/	4r	16g/JJ	1gg_	V42	2.75	M4/4	1.0	off beat	0.0	0.4
4e/	2r	16cc/LL	1gg_	I6	3	M4/4	2.0	strong beat	1.0	0.8
4e/	2r	16g/	1gg_	I6	3.25	M4/4	1.0	off beat	0.0	1.0
4e/	2r	16g/	1gg_	I6	3.5	M4/4	0.0	off beat	0.0	1.0
4e/	2r	16g/JJ	1gg_	I6	3.75	M4/4	0.0	off beat	0.0	0.4
4Bn/	2r	16dd\LL	1gg_	V6	4	M4/4	2.0	weak beat	1.0	0.8
4Bn/	2r	16g\	1gg_	V6	4.25	M4/4	1.0	off beat	0.0	1.0
4Bn/	2r	16g\	1gg_	V6	4.5	M4/4	0.0	off beat	0.0	1.0
4Bn/	2r	16g\JJ	1gg_	V6	4.75	M4/4	0.0	off beat	0.0	0.4
4c/	4r	16ee-\LL	2.gg\]	i	1	M4/4	2.0	strong beat	1.0	0.8
4c/	4r	16g\	2.gg\]	i	1.25	M4/4	1.0	off beat	0.0	1.0
4c/	4r	16g\	2.gg\]	i	1.5	M4/4	0.0	off beat	0.0	1.0
4c/	4r	16g\JJ	2.gg\]	i	1.75	M4/4	0.0	off beat	0.0	0.6666666666666666
4r	8r	16g/LL	2.gg\]	i	2	M4/4	0.0	weak beat	0.0	1.0
4r	8r	16g/	2.gg\]	i	2.25	M4/4	0.0	off beat	0.0	0.5
4r	8f/	16bn/	2.gg\]	i	2.5	M4/4	2.0	off beat	0.0	0.8
4r	8f/	16g/JJ	2.gg\]	i	2.75	M4/4	1.0	off beat	0.0	0.4
2r	4e-/	16cc/LL	2.gg\]	i	3	M4/4	2.0	strong beat	0.0	0.8
